condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
n_all	prefix_yes	26	0.9159562805393411	0.9130434782608696	0.8372093023255813	0.9583333333333334	1.0	0.9690721649484536		affirmative_hum	0	1	1	0	0
n_all	prefix_checking	14	0.9225477588564402	0.9010989010989011	0.8372093023255813	0.9247311827956989	0.98989898989899	0.9795918367346939		checking	0	1	1	0	0
n_all	prefix_checking	15	0.9199401302612725	0.9130434782608696	0.9010989010989011	0.9247311827956989	1.0	0.9795918367346939		checking	0	1	1	0	0
n_all	prefix_checking	16	0.9130141321574408	0.8636363636363636	0.8888888888888888	0.9361702127659575	1.0	0.9795918367346939		checking	0	1	1	0	0
n_all	prefix_checking	24	0.9002928852393409	0.9473684210526316	0.8888888888888888	0.8636363636363636	1.0	0.9361702127659575		checking	0	1	1	0	0
n_all	prefix_checking	25	0.897661129767541	0.9690721649484536	0.8636363636363636	0.8888888888888888	1.0	0.9690721649484536		checking	0	1	1	0	0
n_all	prefix_checking	26	0.895091223819556	0.8888888888888888	0.7012987012987013	0.9361702127659575	0.98989898989899	0.9690721649484536		checking	0	1	1	0	0
n_all	prefix_there_is	14	0.9517755961334508	0.8764044943820225	0.9361702127659575	0.9361702127659575	0.98989898989899	0.9690721649484536		affirmative_hum	0	1	0	0	0
n_all	prefix_there_is	15	0.9365761220003641	0.8505747126436781	0.9361702127659575	0.9361702127659575	0.98989898989899	0.9361702127659575		affirmative_hum	0	1	0	0	0
n_all	prefix_there_is	16	0.9380423713250224	0.8636363636363636	0.9361702127659575	0.9583333333333334	0.98989898989899	0.9583333333333334		affirmative_hum	0	1	0	0	0
